id,state,gender,median_home_val,hvp1,pobc1,pobc2,avggift,target_d,median_household_income,ic2,ic3,ic4,ic5
44060,FL,M,,7,6,16,28,100.0,392,430.0,466,520.0,21975
96093,IL,M,537.0,0,1,89,5,7.0,365,415.0,410,473.0,19387
43333,FL,F,725.0,3,11,17,4,5.0,301,340.0,361,436.0,18837
21885,NC,M,,7,1,74,27,38.0,401,407.0,399,413.0,14014
190108,FL,F,995.0,0,5,6,6,5.0,252,280.0,316,348.0,17991
100640,IL,M,764.0,1,2,75,25,30.0,457,477.0,480,501.0,16022
18581,NC,female,775.0,5,0,73,4,12.0,318,364.0,380,419.0,13491
119038,TX,M,890.0,0,2,46,6,7.0,519,525.0,551,560.0,17872
173223,CA,F,,0,2,63,8,10.0,184,206.0,235,250.0,8708
157988,CA,F,,61,7,62,6,10.0,593,,619,617.0,17838
141720,NV,F,1569.0,22,3,44,13,5.0,673,672.0,785,781.0,25775
186272,CA,F,3515.0,97,11,54,8,10.0,521,565.0,549,588.0,20068
154301,Cali,F,1026.0,1,12,52,11,10.0,459,470.0,491,496.0,13803
189722,AP,Male,0.0,0,0,0,5,6.0,0,0.0,0,0.0,0
188304,KS,F,376.0,0,1,75,10,10.0,263,303.0,287,316.0,10755@
73699,MI,,890.0,1,5,53,11,15.0,463,474.0,512,523.0,9493
31977,FL,F,1513.0,31,3,24,18,28.0,521,599.0,615,702.0,28124
44336,FL,F,948.0,4,6,8,15,15.0,330,365.0,368,411.0,17728
127823,TX,F,258.0,0,0,94,5,6.0,64,60.0,93,74.0,4236
150739,CA,U,1951.0,44,10,66,9,12.0,556,578.0,619,625.0,17208
41384,FL,F,556.0,0,16,22,9,12.0,318,358.0,320,,11779
114721,OK,,1040.0,0,2,56,11,15.0,472,609.0,579,656.0,26962
111795,AR,,603.0,2,1,70,5,5.0,208,264.0,288,341.0,12038
64480,IN,F,526.0,1,1,80,7,10.0,277,336.0,317,370.0,12826
87259,MT,M,717.0,1,1,53,9,25.0,302,458.0,349,432.0,15614
115823,TX,M,1011.0,1,5,61,6,15.0,593,588.0,650,650.0,17606
95701,IL,M,1063.0,3,16,53,8,5.0,255,260.0,312,317.0,14023
5172,IL,M,291.0,0,5,67,10,10.0,136,168.0,180,212.0,8370
